date,累计确诊,治愈,死亡,新增确诊
2020.4.11,20,13,0,1
2020.4.12,20,14,0,1
2020.4.14,21,16,0,1
2020.4.15,23,16,0,1
2020.4.16,25,16,0,3
2020.4.18,35,16,0,6
2020.4.19,52,16,0,1
2020.4.20,69,16,0,17
2020.4.21,86,16,0,3
2020.4.22,94,16,0,8
2020.4.23,108,16,0,22
2020.4.24,129,16,0,13
2020.4.25,141,16,0,13
2020.4.26,214,17,0,37
2020.4.27,245,17,0,19
2020.4.28,250,17,0,5
2020.4.29,277,17,0,27
2020.4.30,468,17,1,190
2020.5.1,491,17,1,85
2020.5.2,519,18,1,28
2020.5.4,557,18,1,10
2020.5.5,573,20,2,32
2020.5.6,617,20,2,44
2020.5.7,648,20,3,31
2020.5.9,785,29,3,41
2020.5.10,862,29,3,2
2020.5.12,904,29,3,7
2020.5.13,955,40,4,51
2020.5.14,982,45,4,27
2020.5.15,1031,49,4,27
2020.5.16,1078,58,4,47
2020.5.17,1094,58,4,16
2020.5.18,1094,58,4,0
2020.5.19,1143,80,4,49
2020.5.20,1186,91,4,43
2020.5.21,1216,91,4,30
2020.5.22,1216,91,4,0
2020.5.23,1274,109,4,58
2020.5.24,1313,128,4,39
2020.5.25,1371,144,4,58
2020.5.26,1395,155,4,24
2020.5.27,1457,197,5,62
2020.5.28,1457,197,5,0
2020.5.29,1513,197,5,56
2020.5.30,1633,230,5,120
2020.5.31,1672,406,5,39
2020.6.1,1773,453,6,101
2020.6.2,1829,488,7,56
2020.6.3,1841,608,7,12
2020.6.4,1850,644,7,9
2020.6.5,1872,648,7,22
2020.6.6,1883,717,8,11
2020.6.7,1901,773,8,18
2020.6.8,1903,827,8,2
2020.6.9,1916,925,8,13
2020.6.10,1942,1010,8,26
2020.6.11,1962,1121,8,20
2020.6.12,1976,1153,8,14
2020.6.13,2003,1193,8,27
2020.6.14,2013,1217,8,10
2020.6.15,2035,1311,8,22
2020.6.16,2065,1540,8,30
2020.6.17,2094,1670,8,29
2020.6.18,2120,1677,8,26
2020.6.19,2137,1759,8,17
2020.6.20,2150,1769,8,13
2020.6.21,2187,1788,8,37
2020.6.22,2203,1803,8,16
2020.6.23,2217,1813,8,14
2020.6.24,2238,1813,8,21
2020.6.25,2261,1839,8,23
2020.6.26,2277,1848,8,16
2020.6.27,2283,1863,8,6
2020.6.28,2305,1875,8,22
2020.6.29,2324,1911,8,19
2020.6.30,2337,1927,9,13
2020.7.1,2361,1944,9,24
2020.7.2,2382,1954,10,21
2020.7.3,2400,1969,10,18
2020.7.4,2410,1976,10,10
2020.7.5,2435,2030,10,25
2020.7.6,2468,2049,11,33
2020.7.7,2491,2113,12,23
2020.7.8,2501,2158,13,10
2020.7.9,2517,2180,13,16
2020.7.10,2553,2227,13,36
2020.7.11,2617,2238,13,64
2020.7.12,2664,2268,13,47
2020.7.13,2731,2284,13,67
2020.7.14,2762,2290,13,31
2020.7.15,2801,2302,14,39
2020.7.16,2831,2321,15,30
2020.7.17,2899,2339,15,68
2020.7.18,2913,2340,15,14
2020.7.19,2930,2354,15,17
2020.7.20,2966,2362,15,36
2020.7.21,2999,2369,15,33
2020.7.22,3044,2397,15,45
2020.7.23,3103,2397,15,59
2020.7.24,3120,2428,15,17
2020.7.25,3175,2498,15,55
2020.7.26,3252,2498,15,77
2020.7.27,3302,2528,15,50
2020.7.28,3369,2547,15,67
2020.7.29,3506,2547,15,137
2020.7.30,3567,2554,15,61
2020.7.31,3719,2568,16,152
2020.8.1,3793,2607,16,74
2020.8.2,3949,2613,17,156
2020.8.3,4164,2643,18,215
2020.8.4,4293,2670,18,129
2020.8.5,4446,2693,19,153
2020.8.6,4594,2706,19,148
2020.8.7,4680,2725,19,86
2020.8.8,4769,2754,19,89
2020.8.9,4898,2791,19,129
2020.8.10,5041,2804,19,143
2020.8.11,5157,2835,20,116
2020.8.12,5223,2849,20,66
2020.8.13,5366,2884,21,143
2020.8.14,5494,2920,21,128
2020.8.15,5572,3010,22,78
2020.8.16,5679,3208,22,107
2020.8.17,5785,3349,22,106
2020.8.18,5909,3488,23,124
2020.8.19,6079,3648,24,170
2020.8.20,6225,3788,24,146
2020.8.21,6370,3915,25,145
2020.8.22,6564,4012,26,194
2020.8.23,6660,4113,26,96
2020.8.24,6779,4222,26,119
2020.8.25,6912,4297,28,133
2020.8.26,7047,4439,28,135
2020.8.27,7225,4561,28,178
2020.8.28,7329,4691,28,104
2020.8.29,7469,4873,28,140
2020.8.30,7578,4925,28,109
2020.8.31,7667,5036,28,89
2020.9.1,7804,5155,29,137
2020.9.2,8003,5265,29,199
2020.9.3,8140,5338,29,137
2020.9.4,8281,5483,29,141
2020.9.5,8361,5642,29,80
2020.9.6,8486,5822,29,125
2020.9.7,8584,5936,29,98
2020.9.8,8667,6052,29,83
2020.9.9,8741,6157,31,74
2020.9.10,8834,6288,31,93
2020.9.11,8900,6559,31,66
2020.9.12,8990,6846,31,90
2020.9.13,9052,7055,32,62
2020.9.14,9173,7326,32,121
2020.9.15,9243,7536,33,70
2020.9.16,9328,7729,33,85
2020.9.17,9427,7903,33,99
2020.9.18,9494,8033,33,67
2020.9.19,9568,8077,33,74
2020.9.20,9649,8188,33,81
2020.9.21,9724,8261,33,75
2020.9.22,9770,8390,34,46
2020.9.23,9818,8438,34,48
2020.9.24,9885,8530,34,67
2020.9.25,9939,8597,34,54
2020.9.26,10014,8673,34,75
2020.9.27,10045,8754,34,31
2020.9.28,10098,8847,34,53
2020.9.29,10157,8950,34,59
2020.9.30,10194,9037,34,37
2020.10.1,10291,9108,34,97
2020.10.2,10354,9187,34,63
2020.10.3,10398,9213,34,44
2020.10.4,10465,9310,34,67
2020.10.5,10530,9364,34,65
2020.10.6,10567,9427,34,37
2020.10.7,10621,9466,34,54
2020.10.8,10656,9547,34,35
2020.10.9,10742,9589,34,86
2020.10.10,10808,9654,34,66
2020.10.11,10859,9683,35,51
2020.10.12,10894,9742,35,35
2020.10.13,10943,9783,35,49
2020.10.14,10993,9833,35,50
2020.10.15,11062,9880,35,69
2020.10.16,11113,9931,35,51
2020.10.17,11154,9995,36,41
2020.10.18,11178,10097,37,24
2020.10.19,11210,10164,37,32
2020.10.20,11232,10201,37,22
2020.10.21,11271,10234,37,39
2020.10.22,11316,10284,37,45
2020.10.23,11358,10383,37,42
2020.10.24,11391,10428,37,33
2020.10.25,11421,10472,37,30
2020.10.26,11505,10524,37,84
2020.10.27,11532,10563,37,27
2020.10.28,11567,10652,37,35
2020.10.29,11591,10685,37,24
2020.10.30,11616,10733,37,25
2020.10.31,11643,10779,37,27
2020.11.1,11659,10814,38,16
2020.11.2,11701,10883,38,42
2020.11.3,11737,10916,38,36
2020.11.4,11796,10962,38,59
2020.11.5,11822,10991,38,26
2020.11.6,11893,11010,38,71
2020.11.7,11932,11041,39,39
2020.11.8,11962,11066,39,30
2020.11.9,11986,11092,39,24
2020.11.10,12009,11132,41,23
2020.11.11,12030,11182,41,21
2020.11.12,12059,11199,41,29
2020.11.13,12085,11225,41,26
2020.11.14,12112,11244,41,27
2020.11.15,12154,11262,43,42
2020.11.16,12204,11289,44,50
2020.11.17,12314,11316,44,110
2020.11.18,12355,11388,45,41
2020.11.19,12384,11406,45,29
2020.11.20,12452,11475,45,68
2020.11.21,12546,11497,45,94
2020.11.22,12578,11559,46,32
2020.11.23,12608,11599,46,30
2020.11.24,12758,11615,46,150
2020.11.25,12810,11660,46,52
2020.11.26,12854,11681,46,44
2020.11.27,12889,11717,46,35
2020.11.28,12933,11749,46,44
2020.11.29,12947,11781,46,14
2020.11.30,13011,11939,46,47
2020.12.1,13011,11939,46,0
2020.12.2,13049,11968,47,38
2020.12.3,13070,12001,47,21
2020.12.4,13106,12154,47,36
2020.12.5,13143,12199,47,37
2020.12.6,13159,12264,47,16
2020.12.7,13198,12321,47,39
2020.12.8,13213,12437,47,15
2020.12.9,13248,12489,47,35
2020.12.10,13274,12591,47,26
2020.12.11,13308,12621,47,34
2020.12.12,13326,12640,48,18
2020.12.13,13348,12659,48,22
2020.12.14,13368,12706,48,20
2020.12.15,13379,12731,48,11
2020.12.16,13392,12760,48,13
2020.12.17,13402,12786,48,10
2020.12.18,13418,12828,48,16
2020.12.19,13444,12836,48,26
2020.12.20,13474,12878,48,30
2020.12.21,13493,12895,48,19
2020.12.22,13501,12929,48,8
2020.12.23,13524,12960,48,23
2020.12.24,13537,12983,48,13
2020.12.25,13558,13011,48,21
2020.12.26,13583,13026,48,25
2020.12.27,13644,13072,48,61
2020.12.28,13660,13082,48,16
2020.12.29,13660,13082,48,0
2020.12.30,13691,13109,48,31
2020.12.31,13738,13125,48,47
2021.1.1,13757,13141,48,19
2021.1.2,13804,13150,48,47
2021.1.3,13834,13166,48,30
2021.1.4,13867,13191,48,33
2021.1.5,13893,13204,48,26
2021.1.6,13930,13217,48,37
2021.1.7,13967,13225,49,37
2021.1.8,13988,13238,49,21
2021.1.9,14040,13279,49,52
2021.1.10,14065,13308,49,25
2021.1.11,14109,13336,49,44
2021.1.12,14159,13365,49,50
2021.1.13,14218,13402,49,59
2021.1.14,14277,13438,49,59
2021.1.15,14325,13463,49,48
2021.1.16,14375,13474,49,50
2021.1.17,14426,13505,49,51
2021.1.18,14513,13540,49,87
2021.1.19,14582,13566,49,69
2021.1.20,14633,13615,49,51
2021.1.21,14712,13639,49,79
2021.1.22,14765,13683,50,53
2021.1.23,14830,13731,50,65
2021.1.24,14885,13813,50,55
2021.1.25,14993,13849,51,108
2021.1.26,15102,13884,51,109
2021.1.27,15247,13916,51,145
2021.1.28,15390,13966,51,143
2021.1.29,15496,14028,51,106
2021.1.30,15614,14064,51,118
2021.1.31,15736,14096,51,122
2021.2.1,15841,14139,52,105
2021.2.2,16056,14190,52,215
2021.2.3,16155,14263,53,99
2021.2.4,16276,14337,53,121
2021.2.5,16410,14419,54,134
2021.2.6,16547,14472,54,137
2021.2.7,16656,14556,54,109
2021.2.8,16783,14604,55,127
2021.2.9,16909,14772,55,126
2021.2.10,17101,14822,56,192
2021.2.11,17201,14978,56,100
2021.2.12,17387,15081,56,186
2021.2.13,17507,15142,58,120
2021.2.14,17716,15291,58,209
2021.2.15,17828,15448,58,112
2021.2.16,17953,15560,58,125
2021.2.17,18082,15633,58,129
2021.2.18,18224,15768,58,142
2021.2.19,18340,15863,58,116
2021.2.20,18467,15965,58,127
2021.2.21,18612,16061,60,145
2021.2.22,18769,16196,60,157
2021.2.23,18930,16351,60,161
2021.2.24,19038,16542,60,108
2021.2.25,19162,16646,60,124
2021.2.26,19346,16838,60,184
2021.2.27,19479,17002,61,133
2021.2.28,19597,17132,61,118
2021.3.1,19793,17249,62,196
2021.3.2,19979,17343,62,186
2021.3.3,20144,17470,62,165
2021.3.4,20280,17595,63,136
2021.3.5,20447,17712,64,167
2021.3.6,20565,17836,64,118
2021.3.7,20663,17979,64,98
2021.3.8,20794,18124,64,131
2021.3.9,20919,18253,64,125
2021.3.10,21034,18428,64,115
2021.3.11,21144,18534,64,110
2021.3.12,21268,18695,64,124
2021.3.13,21382,18780,64,114
2021.3.14,21476,18967,64,94
2021.3.15,21572,19095,64,96
2021.3.16,21666,19245,64,94
2021.3.17,21819,19342,64,153
2021.3.18,21961,19519,64,142
2021.3.19,22147,19642,65,186
2021.3.20,22292,19773,65,145
2021.3.21,22373,19897,66,81
2021.3.22,22513,20004,66,140
2021.3.23,22662,20142,66,149
2021.3.24,22790,20226,66,128
2021.3.25,22929,20359,66,139
2021.3.26,23091,20439,66,162
2021.3.27,23237,20529,66,146
2021.3.28,23403,20618,66,166
2021.3.29,23524,20723,66,121
2021.3.30,23671,20839,66,147
2021.3.31,23838,20984,66,167
2021.4.1,24079,21155,67,241
2021.4.2,24379,21282,67,300
2021.4.3,24548,21368,67,169
2021.4.4,24651,21512,67,103
2021.4.5,24783,21646,67,132
2021.4.6,24908,21773,67,125
2021.4.7,25053,21898,67,145
2021.4.8,25191,22014,67,138
2021.4.9,25304,22166,67,113
2021.4.10,25436,22276,67,132
2021.4.11,25524,22429,67,88
2021.4.12,25617,22551,67,93
2021.4.13,25701,22796,67,84
2021.4.14,25759,22981,67,58
2021.4.15,25844,23141,67,85
2021.4.16,25939,23242,68,95
2021.4.17,26021,23360,68,82
2021.4.18,26145,23482,69,124
2021.4.19,26348,23591,70,203
2021.4.20,26505,23691,70,157
2021.4.21,26667,23803,71,162
