date,累计确诊,治愈,死亡,新增确诊
2020.10.26,13,13,0,0
2020.10.27,13,13,0,0
2020.10.28,13,13,0,0
2020.10.29,13,13,0,0
2020.10.30,13,13,0,0
2020.10.31,13,13,0,0
2020.11.1,13,13,0,0
2020.11.2,13,13,0,0
2020.11.3,13,13,0,0
2020.11.4,13,13,0,0
2020.11.5,13,13,0,0
2020.11.6,13,13,0,0
2020.11.7,13,13,0,0
2020.11.8,13,13,0,0
2020.11.9,13,13,0,0
2020.11.10,13,13,0,0
2020.11.11,13,13,0,0
2020.11.12,14,13,0,1
2020.11.13,15,13,0,1
2020.11.14,15,13,0,0
2020.11.15,15,13,0,0
2020.11.16,15,13,0,0
2020.11.17,15,13,0,0
2020.11.18,16,13,0,1
2020.11.19,16,13,0,0
2020.11.20,16,13,0,0
2020.11.21,16,13,0,0
2020.11.22,16,13,0,0
2020.11.23,16,13,0,0
2020.11.24,16,13,0,0
2020.11.25,16,13,0,0
2020.11.26,16,13,0,0
2020.11.27,16,13,0,0
2020.11.28,16,13,0,0
2020.11.29,16,13,0,0
2020.11.30,16,13,0,0
2020.12.1,16,13,0,0
2020.12.2,16,13,0,0
2020.12.3,17,15,0,1
2020.12.4,17,15,0,0
2020.12.5,17,15,0,0
2020.12.6,17,15,0,0
2020.12.7,17,15,0,0
2020.12.8,17,15,0,0
2020.12.9,17,15,0,0
2020.12.10,17,17,0,0
2020.12.11,17,17,0,0
2020.12.12,17,17,0,0
2020.12.13,17,17,0,0
2020.12.14,17,17,0,0
2020.12.15,17,17,0,0
2020.12.16,23,17,0,6
2020.12.17,23,17,0,0
2020.12.18,23,17,0,0
2020.12.19,23,17,0,0
2020.12.20,23,17,0,0
2020.12.21,23,17,0,0
2020.12.22,23,17,0,0
2020.12.23,29,17,0,6
2020.12.24,29,17,0,0
2020.12.25,29,17,0,0
2020.12.26,29,17,0,0
2020.12.27,29,17,0,0
2020.12.28,29,17,0,0
2020.12.29,29,17,0,0
2020.12.30,29,17,0,0
2020.12.31,29,17,0,0
2021.1.1,29,17,0,0
2021.1.2,29,17,0,0
2021.1.3,29,17,0,0
2021.1.4,29,17,0,0
2021.1.5,29,17,0,0
2021.1.6,29,17,0,0
2021.1.7,29,27,0,0
2021.1.8,29,27,0,0
2021.1.9,29,27,0,0
2021.1.10,29,27,0,0
2021.1.11,29,27,0,0
2021.1.12,29,27,0,0
2021.1.13,32,27,0,3
2021.1.14,32,27,0,0
2021.1.15,32,27,0,0
2021.1.16,32,27,0,0
2021.1.17,32,27,0,0
2021.1.18,32,27,0,0
2021.1.19,32,27,0,0
2021.1.20,35,29,0,3
2021.1.21,35,29,0,0
2021.1.22,35,29,0,0
2021.1.23,35,29,0,0
2021.1.24,35,29,0,0
2021.1.25,35,29,0,0
2021.1.26,35,29,0,0
2021.1.27,41,34,0,6
2021.1.28,41,34,0,0
2021.1.29,41,34,0,0
2021.1.30,41,34,0,0
2021.1.31,41,34,0,0
2021.2.1,41,34,0,0
2021.2.2,41,34,0,0
2021.2.3,41,34,0,0
2021.2.4,45,36,0,4
2021.2.5,45,36,0,0
2021.2.6,45,36,0,0
2021.2.7,45,36,0,0
2021.2.8,45,36,0,0
2021.2.9,45,36,0,0
2021.2.10,53,38,0,8
2021.2.11,53,38,0,0
2021.2.12,53,38,0,0
2021.2.13,53,38,0,0
2021.2.14,53,38,0,0
2021.2.15,53,38,0,0
2021.2.16,53,38,0,0
2021.2.17,54,43,0,1
2021.2.18,54,43,0,0
2021.2.19,54,43,0,0
2021.2.20,54,43,0,0
2021.2.21,54,43,0,0
2021.2.22,54,43,0,0
2021.2.23,54,43,0,0
2021.2.24,54,46,0,0
2021.2.25,54,46,0,0
2021.2.26,54,46,0,0
2021.2.27,54,46,0,0
2021.2.28,54,46,0,0
2021.3.1,54,46,0,0
2021.3.2,54,46,0,0
2021.3.3,54,46,0,0
2021.3.4,54,51,0,0
2021.3.5,54,51,0,0
2021.3.6,54,51,0,0
2021.3.7,54,51,0,0
2021.3.8,54,51,0,0
2021.3.9,54,51,0,0
2021.3.10,54,54,0,0
2021.3.11,54,54,0,0
2021.3.12,54,54,0,0
2021.3.13,54,54,0,0
2021.3.14,54,54,0,0
2021.3.15,54,54,0,0
2021.3.16,54,54,0,0
2021.3.17,54,54,0,0
2021.3.18,54,54,0,0
2021.3.19,54,54,0,0
2021.3.20,54,54,0,0
2021.3.21,54,54,0,0
2021.3.22,54,54,0,0
2021.3.23,54,54,0,0
2021.3.24,54,54,0,0
2021.3.25,54,54,0,0
2021.3.26,54,54,0,0
2021.3.27,54,54,0,0
2021.3.28,54,54,0,0
2021.3.29,54,54,0,0
2021.3.30,54,54,0,0
2021.3.31,54,54,0,0
2021.4.1,54,54,0,0
2021.4.2,54,54,0,0
2021.4.3,54,54,0,0
2021.4.4,54,54,0,0
2021.4.5,54,54,0,0
2021.4.6,54,54,0,0
2021.4.7,54,54,0,0
2021.4.8,60,54,0,6
2021.4.9,60,54,0,0
2021.4.10,60,54,0,0
2021.4.11,60,54,0,0
2021.4.12,60,54,0,0
2021.4.13,60,54,0,0
2021.4.14,60,54,0,0
2021.4.15,62,55,0,2
2021.4.16,62,55,0,0
2021.4.17,62,55,0,0
2021.4.18,62,55,0,0
2021.4.19,62,55,0,0
2021.4.20,62,55,0,0
