date,累计确诊,治愈,死亡,新增确诊
2020.4.7,158,80,1,8
2020.4.8,158,82,1,8
2020.4.9,190,92,1,32
2020.4.10,201,103,1,11
2020.4.11,226,112,2,25
2020.4.12,232,131,2,4
2020.4.13,242,131,2,14
2020.4.14,254,141,2,12
2020.4.15,258,151,4,2
2020.4.16,284,154,4,28
2020.4.17,291,169,4,2
2020.4.18,297,180,6,6
2020.4.19,299,200,6,1
2020.4.20,300,200,9,2
2020.4.21,307,209,9,7
2020.4.22,307,212,15,0
2020.4.23,307,221,16,0
2020.4.24,308,230,18,1
2020.4.26,308,247,18,0
2020.4.27,308,248,20,0
2020.4.28,309,252,21,1
2020.4.29,313,258,21,4
2020.4.30,315,260,21,2
2020.5.1,316,271,22,1
2020.5.4,325,271,23,4
2020.5.5,326,271,23,1
2020.5.6,327,271,23,1
2020.5.7,329,271,23,2
2020.5.9,330,271,23,1
2020.5.12,331,271,23,1
2020.5.13,332,274,23,1
2020.5.15,334,285,24,2
2020.5.16,335,285,24,1
2020.5.17,335,285,24,0
2020.5.18,335,285,24,0
2020.5.19,335,296,24,0
2020.5.20,336,302,24,1
2020.5.21,336,302,24,0
2020.5.22,336,303,24,0
2020.5.23,336,303,24,0
2020.5.24,336,303,24,0
2020.5.25,336,303,24,0
2020.5.26,336,306,24,0
2020.5.27,336,306,24,0
2020.5.28,336,306,24,0
2020.5.29,336,309,24,0
2020.5.30,336,309,24,0
2020.5.31,336,309,24,0
2020.6.1,336,311,24,0
2020.6.2,336,311,24,0
2020.6.3,336,311,24,0
2020.6.4,336,312,24,0
2020.6.5,336,312,24,0
2020.6.6,336,312,24,0
2020.6.7,336,312,24,0
2020.6.8,336,312,24,0
2020.6.9,336,312,24,0
2020.6.10,336,312,24,0
2020.6.11,336,312,24,0
2020.6.12,336,312,24,0
2020.6.13,336,312,24,0
2020.6.14,336,312,24,0
2020.6.15,336,312,24,0
2020.6.16,336,312,24,0
2020.6.17,336,312,24,0
2020.6.18,336,312,24,0
2020.6.19,336,312,24,0
2020.6.20,336,312,24,0
2020.6.21,336,312,24,0
2020.6.22,336,312,24,0
2020.6.23,336,312,24,0
2020.6.24,336,312,24,0
2020.6.25,336,312,24,0
2020.6.26,336,312,24,0
2020.6.27,336,312,24,0
2020.6.28,336,312,24,0
2020.6.29,336,312,24,0
2020.6.30,336,312,24,0
2020.7.1,336,312,24,0
2020.7.2,336,312,24,0
2020.7.3,336,312,24,0
2020.7.4,336,312,24,0
2020.7.5,336,312,24,0
2020.7.6,336,312,24,0
2020.7.7,336,312,24,0
2020.7.8,336,312,24,0
2020.7.9,336,312,24,0
2020.7.10,336,312,24,0
2020.7.11,336,312,24,0
2020.7.12,336,312,24,0
2020.7.13,336,312,24,0
2020.7.14,336,312,24,0
2020.7.15,336,312,24,0
2020.7.16,336,312,24,0
2020.7.17,336,312,24,0
2020.7.18,336,312,24,0
2020.7.19,336,312,24,0
2020.7.20,336,312,24,0
2020.7.21,336,312,24,0
2020.7.22,336,312,24,0
2020.7.23,336,312,24,0
2020.7.24,336,312,24,0
2020.7.25,336,312,24,0
2020.7.26,336,312,24,0
2020.7.27,336,312,24,0
2020.7.28,336,312,24,0
2020.7.29,336,312,24,0
2020.7.30,336,312,24,0
2020.7.31,336,312,24,0
2020.8.1,336,312,24,0
2020.8.2,336,312,24,0
2020.8.3,336,312,24,0
2020.8.4,336,312,24,0
2020.8.5,336,312,24,0
2020.8.6,336,312,24,0
2020.8.7,336,312,24,0
2020.8.8,336,312,24,0
2020.8.9,336,312,24,0
2020.8.10,336,312,24,0
2020.8.11,336,312,24,0
2020.8.12,336,312,24,0
2020.8.13,336,312,24,0
2020.8.14,336,312,24,0
2020.8.15,336,312,24,0
2020.8.16,336,312,24,0
2020.8.17,336,312,24,0
2020.8.18,336,312,24,0
2020.8.19,336,312,24,0
2020.8.20,336,312,24,0
2020.8.21,336,312,24,0
2020.8.22,336,312,24,0
2020.8.23,336,312,24,0
2020.8.24,336,312,24,0
2020.8.25,336,312,24,0
2020.8.26,336,312,24,0
2020.8.27,336,312,24,0
2020.8.28,336,312,24,0
2020.8.29,336,312,24,0
2020.8.30,336,312,24,0
2020.8.31,336,312,24,0
2020.9.1,336,312,24,0
2020.9.2,336,312,24,0
2020.9.3,336,312,24,0
2020.9.4,336,312,24,0
2020.9.5,336,312,24,0
2020.9.6,336,312,24,0
2020.9.7,337,312,24,1
2020.9.8,337,312,24,0
2020.9.9,337,312,24,0
2020.9.10,337,312,24,0
2020.9.11,337,312,24,0
2020.9.12,337,312,24,0
2020.9.13,337,312,24,0
2020.9.14,339,312,24,2
2020.9.15,339,312,24,0
2020.9.16,339,312,24,0
2020.9.17,339,312,24,0
2020.9.18,339,312,24,0
2020.9.19,339,312,24,0
2020.9.20,339,312,24,0
2020.9.21,339,312,24,0
2020.9.22,340,312,24,1
2020.9.23,340,312,24,0
2020.9.24,340,312,24,0
2020.9.25,340,314,24,0
2020.9.26,340,314,24,0
2020.9.27,340,314,24,0
2020.9.28,340,314,24,0
2020.9.29,340,315,24,0
2020.9.30,340,315,24,0
2020.10.1,340,315,24,0
2020.10.2,341,315,24,1
2020.10.3,341,315,24,0
2020.10.4,342,315,24,1
2020.10.5,344,316,24,2
2020.10.6,345,316,24,1
2020.10.7,345,316,24,0
2020.10.8,345,316,24,0
2020.10.9,345,316,24,0
2020.10.10,345,316,24,0
2020.10.11,345,316,24,0
2020.10.12,346,316,24,1
2020.10.13,346,317,24,0
2020.10.14,348,319,24,2
2020.10.15,348,319,24,0
2020.10.16,348,319,24,0
2020.10.17,348,319,24,0
2020.10.18,348,319,24,0
2020.10.19,348,319,24,0
2020.10.20,348,321,24,0
2020.10.21,348,321,24,0
2020.10.22,348,321,24,0
2020.10.23,348,321,24,0
2020.10.24,348,321,24,0
2020.10.25,348,321,24,0
2020.10.26,348,321,24,0
2020.10.27,351,321,24,3
2020.10.28,352,321,24,1
2020.10.29,352,324,24,0
2020.10.30,352,324,24,0
2020.10.31,353,324,24,1
2020.11.1,353,324,24,0
2020.11.2,353,324,24,0
2020.11.3,355,324,24,2
2020.11.4,356,324,24,1
2020.11.5,357,324,24,1
2020.11.6,357,324,24,0
2020.11.7,357,326,24,0
2020.11.8,357,326,24,0
2020.11.9,357,326,24,0
2020.11.10,357,329,25,0
2020.11.11,359,329,25,2
2020.11.12,361,329,25,2
2020.11.13,363,329,25,2
2020.11.14,363,329,25,0
2020.11.15,363,329,25,0
2020.11.16,363,329,25,0
2020.11.17,363,329,25,0
2020.11.18,364,332,25,1
2020.11.19,364,332,25,0
2020.11.20,366,332,25,2
2020.11.21,368,332,25,2
2020.11.22,368,332,25,0
2020.11.23,368,332,25,0
2020.11.24,369,332,25,1
2020.11.25,369,336,25,0
2020.11.26,369,338,25,0
2020.11.27,369,338,25,0
2020.11.28,369,338,25,0
2020.11.29,369,338,25,0
2020.11.30,369,338,25,0
2020.12.1,369,338,25,0
2020.12.2,369,340,25,0
2020.12.3,369,344,25,0
2020.12.4,369,344,25,0
2020.12.5,370,344,25,1
2020.12.6,370,344,25,0
2020.12.7,370,344,25,0
2020.12.8,370,344,25,0
2020.12.9,370,344,25,0
2020.12.10,370,344,25,0
2020.12.11,370,344,25,0
2020.12.12,370,344,25,0
2020.12.13,370,344,25,0
2020.12.14,370,344,25,0
2020.12.15,373,344,25,3
2020.12.16,373,344,25,0
2020.12.17,373,344,25,0
2020.12.18,373,344,25,0
2020.12.19,373,344,25,0
2020.12.20,373,344,25,0
2020.12.21,373,345,25,0
2020.12.22,374,346,25,1
2020.12.23,374,346,25,0
2020.12.24,374,346,25,0
2020.12.25,374,346,25,0
2020.12.26,374,346,25,0
2020.12.27,374,346,25,0
2020.12.28,374,346,25,0
2020.12.29,374,346,25,0
2020.12.30,374,346,25,0
2020.12.31,377,348,25,3
2021.1.1,377,348,25,0
2021.1.2,380,355,25,3
2021.1.3,380,355,25,0
2021.1.4,380,349,25,0
2021.1.5,380,349,25,0
2021.1.6,386,349,25,6
2021.1.7,389,349,25,3
2021.1.8,390,349,25,1
2021.1.9,392,349,25,2
2021.1.10,394,349,25,2
2021.1.11,396,349,25,2
2021.1.12,403,351,25,7
2021.1.13,406,351,25,3
2021.1.14,414,353,25,8
2021.1.15,417,354,25,3
2021.1.16,418,354,25,1
2021.1.17,419,354,25,1
2021.1.18,428,354,25,9
2021.1.19,432,354,25,4
2021.1.20,432,354,25,0
2021.1.21,432,357,25,0
2021.1.22,432,357,25,0
2021.1.23,432,357,25,0
2021.1.24,432,364,25,0
2021.1.25,432,364,25,0
2021.1.26,432,364,25,0
2021.1.27,432,364,25,0
2021.1.28,432,377,25,0
2021.1.29,432,379,25,0
2021.1.30,434,380,25,2
2021.1.31,434,383,25,0
2021.2.1,434,383,25,0
2021.2.2,434,398,25,0
2021.2.3,434,398,25,0
2021.2.4,434,398,25,0
2021.2.5,434,401,25,0
2021.2.6,434,401,25,0
2021.2.7,434,405,25,0
2021.2.8,434,405,25,0
2021.2.9,435,406,25,1
2021.2.10,436,406,25,1
2021.2.11,436,406,25,0
2021.2.12,436,407,25,0
2021.2.13,436,407,25,0
2021.2.14,436,408,25,0
2021.2.15,436,408,25,0
2021.2.16,436,408,25,0
2021.2.17,437,408,25,1
2021.2.18,437,408,25,0
2021.2.19,444,408,25,7
2021.2.20,449,409,25,5
2021.2.21,450,409,25,1
2021.2.22,450,409,25,0
2021.2.23,456,409,25,6
2021.2.24,462,409,25,6
2021.2.25,470,410,25,8
2021.2.26,475,410,25,5
2021.2.27,475,410,25,0
2021.2.28,484,410,25,9
2021.3.1,484,411,25,0
2021.3.2,486,411,25,2
2021.3.3,494,411,25,8
2021.3.4,511,416,25,17
2021.3.5,546,416,25,35
2021.3.6,605,417,25,59
2021.3.7,676,417,25,71
2021.3.8,757,417,25,81
2021.3.9,865,417,25,108
2021.3.10,952,417,25,87
2021.3.11,1026,417,25,74
2021.3.12,1091,422,25,65
2021.3.13,1157,424,26,66
2021.3.14,1234,424,26,77
2021.3.15,1278,430,26,44
2021.3.16,1307,430,26,29
2021.3.17,1351,430,26,44
2021.3.18,1383,470,26,32
2021.3.19,1411,497,26,28
2021.3.20,1432,522,26,21
2021.3.21,1462,551,26,30
2021.3.22,1486,557,26,24
2021.3.23,1503,597,26,17
2021.3.24,1516,702,26,13
2021.3.25,1530,702,26,14
2021.3.26,1545,851,26,15
2021.3.27,1551,851,27,6
2021.3.28,1555,977,27,4
2021.3.29,1558,1038,29,3
2021.3.30,1566,1124,29,8
2021.3.31,1567,1198,29,1
2021.4.1,1569,1247,29,2
2021.4.2,1570,1247,29,1
2021.4.3,1571,1376,29,1
2021.4.4,1571,1376,29,0
