date,累计确诊,治愈,死亡,新增确诊
2020.4.9,9,0,1,1
2020.4.10,9,0,1,1
2020.4.11,12,0,2,3
2020.4.12,16,0,2,3
2020.4.16,17,0,2,1
2020.4.20,18,3,2,1
2020.4.21,23,3,2,5
2020.4.22,33,3,3,10
2020.4.24,33,4,3,0
2020.4.25,34,4,3,1
2020.4.26,36,4,3,2
2020.4.29,36,7,3,0
2020.5.2,38,9,3,1
2020.5.3,41,9,3,2
2020.5.5,43,9,3,2
2020.5.8,56,14,3,13
2020.5.12,63,24,3,6
2020.5.16,65,24,3,2
2020.5.17,70,27,3,5
2020.5.18,70,27,3,0
2020.5.19,70,27,3,0
2020.5.20,71,27,3,1
2020.5.21,71,27,3,0
2020.5.22,72,27,3,1
2020.5.23,82,28,3,10
2020.5.24,82,28,4,0
2020.5.25,101,33,4,19
2020.5.26,101,37,4,0
2020.5.27,101,37,4,0
2020.5.28,203,37,4,102
2020.5.29,203,42,4,0
2020.5.30,273,42,4,70
2020.5.31,279,42,4,6
2020.6.1,284,42,4,5
2020.6.2,336,42,4,52
2020.6.3,358,42,4,22
2020.6.4,369,51,4,11
2020.6.5,393,51,4,24
2020.6.6,409,55,4,16
2020.6.7,409,55,4,0
2020.6.8,438,55,4,29
2020.6.9,443,55,4,5
2020.6.10,455,55,4,12
2020.6.11,455,55,4,0
2020.6.12,481,55,4,26
2020.6.13,481,65,4,0
2020.6.14,529,66,5,48
2020.6.15,547,69,6,18
2020.6.16,555,69,6,8
2020.6.17,564,73,6,9
2020.6.18,572,73,6,8
2020.6.19,592,74,8,20
2020.6.20,620,91,8,28
2020.6.21,730,258,11,110
2020.6.22,749,258,11,19
2020.6.23,803,258,11,54
2020.6.24,803,258,11,0
2020.6.25,941,259,11,138
2020.6.26,960,260,12,19
2020.6.27,1005,260,13,45
2020.6.28,1038,260,13,33
2020.6.29,1146,260,13,108
2020.6.30,1224,260,14,78
2020.7.1,1265,260,16,41
2020.7.2,1342,271,16,77
2020.7.3,1402,317,16,60
2020.7.4,1498,317,16,96
2020.7.5,1613,317,17,115
2020.7.6,1742,317,19,129
2020.7.7,1818,317,19,76
2020.7.8,1864,345,24,46
2020.7.9,1942,369,25,78
2020.7.10,1984,369,29,42
2020.7.11,2069,379,31,85
2020.7.12,2261,517,33,192
2020.7.13,2364,557,38,103
2020.7.14,2430,747,39,66
2020.7.15,2497,795,40,67
2020.7.16,2614,1005,43,117
2020.7.17,2712,1073,51,98
