date,累计确诊,治愈,死亡,新增确诊
2020.4.8,154,50,6,2
2020.4.10,155,50,6,1
2020.4.12,157,50,6,2
2020.4.14,158,73,8,1
2020.4.18,163,73,12,5
2020.4.20,163,73,14,0
2020.4.21,164,73,14,1
2020.4.23,170,73,14,6
2020.4.25,175,77,14,5
2020.4.29,178,83,14,3
2020.4.30,179,83,14,1
2020.5.5,182,83,14,1
2020.5.7,183,83,14,1
2020.5.13,189,91,14,2
2020.5.15,192,91,14,3
2020.5.16,192,91,14,0
2020.5.18,192,91,14,0
2020.5.19,192,91,14,0
2020.5.20,192,91,14,0
2020.5.21,192,91,14,0
2020.5.22,192,91,14,0
2020.5.23,197,91,14,5
2020.5.24,197,91,14,0
2020.5.25,197,91,14,0
2020.5.26,197,91,14,0
2020.5.27,197,91,14,0
2020.5.28,197,91,14,0
2020.5.29,197,91,14,0
2020.5.30,200,98,14,3
2020.5.31,200,98,14,0
2020.6.1,200,98,14,0
2020.6.2,200,98,14,0
2020.6.3,200,98,14,0
2020.6.4,200,98,14,0
2020.6.5,200,98,14,0
2020.6.6,202,98,14,2
2020.6.7,202,98,14,0
2020.6.8,202,98,14,0
2020.6.9,202,98,14,0
2020.6.10,202,98,14,0
2020.6.11,202,98,14,0
2020.6.12,202,98,14,0
2020.6.13,202,98,14,0
2020.6.14,202,98,14,0
2020.6.15,202,98,14,0
2020.6.16,202,98,14,0
2020.6.17,202,98,14,0
2020.6.18,221,98,14,19
2020.6.19,221,98,14,0
2020.6.20,236,98,14,15
2020.6.21,236,98,14,0
2020.6.22,236,98,14,0
2020.6.23,236,98,14,0
2020.6.24,236,98,14,0
2020.6.25,236,98,14,0
2020.6.26,236,98,14,0
2020.6.27,242,98,14,6
2020.6.28,242,98,14,0
2020.6.29,242,98,14,0
2020.6.30,242,98,14,0
2020.7.1,242,98,14,0
2020.7.2,242,98,14,0
2020.7.3,242,98,14,0
2020.7.4,249,98,14,7
2020.7.5,249,98,14,0
2020.7.6,249,98,14,0
2020.7.7,249,98,14,0
2020.7.8,249,98,14,0
2020.7.9,249,98,14,0
2020.7.10,249,98,14,0
2020.7.11,255,98,15,6
2020.7.12,255,98,15,0
2020.7.13,255,98,15,0
2020.7.14,255,98,15,0
2020.7.15,255,98,15,0
2020.7.16,255,98,15,0
2020.7.17,255,98,15,0
2020.7.18,255,98,15,0
2020.7.19,262,98,15,7
2020.7.20,262,98,15,0
2020.7.21,262,98,15,0
2020.7.22,262,98,15,0
2020.7.23,262,98,15,0
2020.7.24,262,98,15,0
2020.7.25,269,98,15,7
2020.7.26,269,98,15,0
2020.7.27,269,98,15,0
2020.7.28,269,98,15,0
2020.7.29,269,98,15,0
2020.7.30,269,98,15,0
2020.7.31,269,98,15,0
2020.8.1,269,98,15,0
2020.8.2,269,98,15,0
2020.8.3,269,98,15,0
2020.8.4,269,98,15,0
2020.8.5,269,98,15,0
2020.8.6,269,98,15,0
2020.8.7,276,98,15,7
2020.8.8,336,98,16,60
2020.8.9,336,98,16,0
2020.8.10,336,98,16,0
2020.8.11,336,98,16,0
2020.8.12,336,98,16,0
2020.8.13,336,98,16,0
2020.8.14,336,98,16,0
2020.8.15,336,98,16,0
2020.8.16,336,98,16,0
2020.8.17,336,98,16,0
2020.8.18,336,98,16,0
2020.8.19,336,98,16,0
2020.8.20,336,98,16,0
2020.8.21,336,98,16,0
2020.8.22,336,98,16,0
2020.8.23,336,98,16,0
2020.8.24,464,98,16,128
2020.8.25,464,98,16,0
2020.8.26,464,98,16,0
2020.8.27,596,98,16,132
2020.8.28,596,98,16,0
2020.8.29,596,98,16,0
2020.8.30,596,98,16,0
2020.8.31,596,98,16,0
2020.9.1,615,98,16,19
2020.9.2,747,98,18,132
2020.9.3,754,98,18,7
2020.9.4,754,98,18,0
2020.9.5,758,98,18,4
2020.9.6,758,98,18,0
2020.9.7,758,98,18,0
2020.9.8,758,98,18,0
2020.9.9,939,98,18,181
2020.9.10,939,98,18,0
2020.9.11,939,98,18,0
2020.9.12,939,98,18,0
2020.9.13,939,98,18,0
2020.9.14,939,98,18,0
2020.9.15,939,98,18,0
2020.9.16,1122,98,18,183
2020.9.17,1122,98,18,0
2020.9.18,1122,98,18,0
2020.9.19,1122,98,18,0
2020.9.20,1122,98,18,0
2020.9.21,1122,98,18,0
2020.9.22,1122,98,18,0
2020.9.23,1290,98,20,168
2020.9.24,1290,98,20,0
2020.9.25,1290,98,20,0
2020.9.26,1290,98,20,0
2020.9.27,1290,98,20,0
2020.9.28,1290,98,20,0
2020.9.29,1290,98,20,0
2020.9.30,1543,98,21,253
2020.10.1,1543,98,21,0
2020.10.2,1543,98,21,0
2020.10.3,1543,98,21,0
2020.10.4,1543,98,21,0
2020.10.5,1543,98,21,0
2020.10.6,1543,98,21,0
2020.10.7,1851,98,22,308
2020.10.8,1851,98,22,0
2020.10.9,1851,98,22,0
2020.10.10,1851,98,22,0
2020.10.11,1851,98,22,0
2020.10.12,1851,98,22,0
2020.10.13,1851,98,22,0
2020.10.14,2257,98,24,406
2020.10.15,2257,98,24,0
2020.10.16,2257,98,24,0
2020.10.17,2257,98,24,0
2020.10.18,2257,98,24,0
2020.10.19,2257,98,24,0
2020.10.20,2257,98,24,0
2020.10.21,2257,98,24,0
2020.10.22,2257,98,24,0
2020.10.23,2257,98,24,0
2020.10.24,2257,98,24,0
2020.10.25,2257,98,24,0
2020.10.26,2257,98,24,0
2020.10.27,2257,98,24,0
2020.10.28,3552,98,30,1295
2020.10.29,3552,98,30,0
2020.10.30,3552,98,30,0
2020.10.31,3552,98,30,0
2020.11.1,3552,98,30,0
2020.11.2,3552,98,30,0
2020.11.3,3552,98,30,0
2020.11.4,3552,98,30,0
2020.11.5,4215,98,33,663
2020.11.6,4215,98,33,0
2020.11.7,4215,98,33,0
2020.11.8,4215,98,33,0
2020.11.9,4215,98,33,0
2020.11.10,4215,98,33,0
2020.11.11,4732,98,37,517
2020.11.12,4732,98,37,0
2020.11.13,4732,98,37,0
2020.11.14,4732,98,37,0
2020.11.15,4732,98,37,0
2020.11.16,4732,98,37,0
2020.11.17,4732,98,37,0
2020.11.18,4732,98,37,0
2020.11.19,4732,98,37,0
2020.11.20,4732,98,37,0
2020.11.21,4732,98,37,0
2020.11.22,4732,98,37,0
2020.11.23,4732,98,37,0
2020.11.24,4732,98,37,0
2020.11.25,5413,98,40,681
2020.11.26,5413,98,40,0
2020.11.27,5413,98,40,0
2020.11.28,5413,98,40,0
2020.11.29,5413,98,40,0
2020.11.30,5413,98,40,0
2020.12.1,5413,98,40,0
2020.12.2,5520,98,41,107
2020.12.3,5520,98,41,0
2020.12.4,5520,98,41,0
2020.12.5,5520,98,41,0
2020.12.6,5520,98,41,0
2020.12.7,5520,98,41,0
2020.12.8,5520,98,41,0
2020.12.9,5520,98,41,0
2020.12.10,5575,98,42,55
2020.12.11,5575,98,42,0
2020.12.12,5575,98,42,0
2020.12.13,5575,98,42,0
2020.12.14,5575,98,42,0
2020.12.15,5575,98,42,0
2020.12.16,5575,98,42,0
2020.12.17,5634,98,42,59
2020.12.18,5634,98,42,0
2020.12.19,5634,98,42,0
2020.12.20,5634,98,42,0
2020.12.21,5634,98,42,0
2020.12.22,5634,98,42,0
2020.12.23,6049,98,42,415
2020.12.24,6049,98,42,0
2020.12.25,6049,98,42,0
2020.12.26,6049,98,42,0
2020.12.27,6049,98,42,0
2020.12.28,6049,98,42,0
2020.12.29,6049,98,42,0
2020.12.30,6091,98,43,42
2020.12.31,6091,98,43,0
2021.1.1,6091,98,43,0
2021.1.2,6091,98,43,0
2021.1.3,6091,98,43,0
2021.1.4,6091,98,43,0
2021.1.5,6091,98,43,0
2021.1.6,6091,98,43,0
2021.1.7,6091,98,43,0
2021.1.8,6091,98,43,0
2021.1.9,6184,98,43,93
2021.1.10,6184,98,43,0
2021.1.11,6184,98,43,0
2021.1.12,6184,98,43,0
