date,累计确诊,治愈,死亡,新增确诊
2020.4.7,4119,1487,65,156
2020.4.8,4228,1608,67,109
2020.4.9,4346,1830,70,118
2020.4.12,4817,2276,77,134
2020.4.13,4987,2478,82,170
2020.4.14,5072,2647,83,85
2020.4.15,5182,2766,84,110
2020.4.16,5251,2967,86,69
2020.4.17,5305,3102,88,54
2020.4.18,5389,3197,89,84
2020.4.19,5425,3295,89,36
2020.4.20,5482,3349,92,57
2020.4.21,5532,3452,93,50
2020.4.22,5603,3542,95,71
2020.4.23,5691,3663,96,88
2020.4.24,5742,3762,98,51
2020.4.25,5780,3862,98,38
2020.4.26,5820,3957,99,40
2020.4.27,5851,4032,100,31
2020.4.28,5945,4087,100,94
2020.4.29,6002,4171,102,57
2020.4.30,6071,4210,103,69
2020.5.1,6176,4326,103,105
2020.5.2,6298,4413,105,122
2020.5.3,6353,4484,105,55
2020.5.4,6383,4567,106,30
2020.5.5,6428,4702,107,45
2020.5.6,6467,4776,107,39
2020.5.7,6535,4864,107,68
2020.5.8,6589,4929,108,54
2020.5.9,6656,5025,108,67
2020.5.10,6726,5113,109,70
2020.5.11,6742,5223,109,1
2020.5.12,6779,5281,111,37
2020.5.13,6819,5351,112,40
2020.5.14,6855,5439,112,36
2020.5.15,6872,5512,113,17
2020.5.16,6894,5571,113,22
2020.5.17,6941,5615,113,47
2020.5.18,6941,5615,113,0
2020.5.19,6978,5646,114,37
2020.5.20,7009,5706,114,31
2020.5.21,7059,5796,114,50
2020.5.22,7137,5859,115,78
2020.5.23,7185,5912,115,48
2020.5.24,7245,5945,115,60
2020.5.25,7417,5979,115,172
2020.5.26,7604,6041,115,187
2020.5.27,7619,6083,115,15
2020.5.28,7629,6169,115,10
2020.5.29,7732,6235,115,103
2020.5.30,7762,6330,115,30
2020.5.31,7819,6353,115,57
2020.6.1,7857,6404,115,38
2020.6.2,7877,6470,115,20
2020.6.3,7970,6531,115,93
2020.6.4,8247,6559,115,277
2020.6.5,8266,6610,116,19
2020.6.6,8303,6635,117,37
2020.6.7,8322,6674,117,19
2020.6.8,8329,6694,117,7
2020.6.9,8336,6975,117,7
2020.6.10,8338,7014,118,2
2020.6.11,8369,7065,118,31
2020.6.12,8402,7168,119,33
2020.6.13,8445,7311,120,43
2020.6.14,8453,7346,121,8
2020.6.15,8494,7400,121,41
2020.6.16,8505,7733,121,11
2020.6.17,8515,7873,121,10
2020.6.18,8529,8000,121,14
2020.6.19,8535,8070,121,6
2020.6.20,8556,8146,121,21
2020.6.21,8572,8156,121,16
2020.6.22,8587,8177,121,15
2020.6.23,8590,8186,121,3
2020.6.24,8596,8231,121,6
2020.6.25,8600,8271,121,4
2020.6.26,8606,8294,121,6
2020.6.27,8616,8308,121,10
2020.6.28,8634,8318,121,18
2020.6.29,8637,8334,121,3
2020.6.30,8639,8354,121,2
2020.7.1,8640,8375,121,1
2020.7.2,8643,8437,121,3
2020.7.3,8648,8446,121,5
2020.7.4,8658,8461,121,10
2020.7.5,8663,8465,121,5
2020.7.6,8668,8476,121,5
2020.7.7,8674,8481,121,6
2020.7.8,8677,8486,121,3
2020.7.9,8683,8499,121,6
2020.7.10,8696,8511,121,13
2020.7.11,8704,8515,122,8
2020.7.12,8718,8519,122,14
2020.7.13,8725,8520,122,7
2020.7.14,8729,8524,122,4
2020.7.15,8734,8526,122,5
2020.7.16,8737,8538,122,3
2020.7.17,8755,8541,122,18
2020.7.18,8764,8546,122,9
2020.7.19,8779,8553,123,15
2020.7.20,8800,8555,123,21
2020.7.21,8815,8562,123,15
2020.7.22,8831,8566,123,16
2020.7.23,8840,8574,123,9
2020.7.24,8861,8577,123,21
2020.7.25,8884,8594,123,23
2020.7.26,8897,8600,124,13
2020.7.27,8904,8601,124,7
2020.7.28,8943,8607,124,39
2020.7.29,8956,8612,124,13
2020.7.30,8964,8617,124,8
2020.7.31,8976,8644,125,12
2020.8.1,8985,8647,125,9
2020.8.2,8999,8664,125,14
2020.8.3,9001,8668,125,2
2020.8.4,9002,8684,125,1
2020.8.5,9023,8702,125,21
2020.8.6,9038,8713,125,15
2020.8.7,9063,8728,125,25
2020.8.8,9070,8775,125,7
2020.8.9,9083,8784,125,13
2020.8.10,9094,8803,125,11
2020.8.11,9103,8809,125,9
2020.8.12,9114,8817,125,11
2020.8.13,9129,8821,125,15
2020.8.14,9149,8828,125,20
2020.8.15,9175,8831,125,26
2020.8.16,9200,8859,125,25
2020.8.17,9212,8876,125,12
2020.8.18,9219,8902,125,7
2020.8.19,9235,8925,125,16
2020.8.20,9240,8932,125,5
2020.8.21,9249,8945,125,9
2020.8.22,9257,8949,125,8
2020.8.23,9267,8959,125,10
2020.8.24,9274,8965,125,7
2020.8.25,9285,8971,125,11
2020.8.26,9291,8978,125,6
2020.8.27,9296,8994,125,5
2020.8.28,9306,9030,125,10
2020.8.29,9317,9038,125,11
2020.8.30,9334,9048,126,17
2020.8.31,9340,9054,127,6
2020.9.1,9354,9075,128,14
2020.9.2,9360,9079,128,6
2020.9.3,9374,9083,128,14
2020.9.4,9385,9092,128,11
2020.9.5,9391,9113,128,6
2020.9.6,9397,9115,128,6
2020.9.7,9459,9124,128,62
2020.9.8,9559,9136,128,100
2020.9.9,9583,9143,128,24
2020.9.10,9628,9167,128,45
2020.9.11,9810,9181,128,182
2020.9.12,9868,9189,128,58
2020.9.13,9915,9196,128,47
2020.9.14,9946,9203,128,31
2020.9.15,9969,9209,128,23
2020.9.16,10031,9235,128,62
2020.9.17,10052,9250,128,21
2020.9.18,10147,9264,129,95
2020.9.19,10167,9315,130,20
2020.9.20,10219,9355,130,52
2020.9.21,10276,9395,130,57
2020.9.22,10358,9563,130,82
2020.9.23,10505,9602,133,147
2020.9.24,10576,9666,133,71
2020.9.25,10687,9696,133,111
2020.9.26,10769,9785,133,82
2020.9.27,10919,9835,134,150
2020.9.28,11034,9889,134,115
2020.9.29,11135,9939,134,101
2020.9.30,11224,9967,136,89
2020.10.1,11484,10014,136,260
2020.10.2,11771,10095,136,287
2020.10.3,12088,10216,137,317
