date,累计确诊,治愈,死亡,新增确诊
2020.4.8,184,22,2,13
2020.4.9,184,26,2,2
2020.4.11,196,59,3,5
2020.4.12,207,59,3,11
2020.4.13,217,69,3,10
2020.4.16,245,117,4,12
2020.4.17,254,117,4,9
2020.4.19,271,117,4,17
2020.4.20,284,117,4,13
2020.4.21,311,117,4,40
2020.4.22,326,125,4,20
2020.4.23,354,144,4,28
2020.4.25,380,144,4,26
2020.4.27,460,235,4,59
2020.4.29,539,235,4,79
2020.5.5,739,352,9,53
2020.5.7,854,352,10,115
2020.5.9,988,492,11,134
2020.5.12,1095,492,12,72
2020.5.15,1210,627,16,48
2020.5.16,1312,627,18,102
2020.5.17,1342,627,18,30
2020.5.18,1342,627,18,0
2020.5.19,1370,627,18,28
2020.5.20,1475,894,19,105
2020.5.21,1475,894,19,0
2020.5.22,1475,894,19,0
2020.5.23,1521,894,19,46
2020.5.24,1521,894,19,0
2020.5.25,1609,894,20,88
2020.5.26,1634,894,20,25
2020.5.27,1634,894,20,0
2020.5.28,1670,1315,21,36
2020.5.29,1699,1385,21,29
2020.5.30,1699,1385,21,0
2020.5.31,1699,1385,21,0
2020.6.1,1699,1385,21,0
2020.6.2,1986,1473,24,287
2020.6.3,1993,1523,24,7
2020.6.4,2058,1523,25,65
2020.6.5,2058,1523,25,0
2020.6.6,2079,1523,25,21
2020.6.7,2079,1523,25,0
2020.6.8,2151,1654,25,72
2020.6.9,2151,1654,25,0
2020.6.10,2226,1654,28,75
2020.6.11,2240,1654,28,14
2020.6.12,2240,1654,28,0
2020.6.13,2268,1790,28,28
2020.6.14,2282,1790,28,14
2020.6.15,2298,1790,29,16
2020.6.16,2310,2058,29,12
2020.6.17,2333,2058,29,23
2020.6.18,2383,2066,29,50
2020.6.19,2383,2066,29,0
2020.6.20,2394,2066,29,11
2020.6.21,2404,2066,31,10
2020.6.22,2434,2188,31,30
2020.6.23,2434,2188,31,0
2020.6.24,2434,2188,31,0
2020.6.25,2508,2218,32,74
2020.6.26,2508,2218,32,0
2020.6.27,2508,2218,32,0
2020.6.28,2508,2218,32,0
2020.6.29,2508,2218,32,0
2020.6.30,2603,2325,35,95
2020.7.1,2643,2341,35,40
2020.7.2,2643,2341,35,0
2020.7.3,2661,2375,35,18
2020.7.4,2661,2375,35,0
2020.7.5,2661,2375,35,0
2020.7.6,2661,2375,34,0
2020.7.7,2688,2446,34,27
2020.7.8,2688,2446,34,0
2020.7.9,2702,2480,37,14
2020.7.10,2702,2480,37,0
2020.7.11,2711,2480,37,9
2020.7.12,2711,2480,37,0
2020.7.13,2711,2480,37,0
2020.7.14,2724,2480,37,13
2020.7.15,2724,2480,37,0
2020.7.16,2743,2581,37,19
2020.7.17,2782,2591,37,39
2020.7.18,2782,2591,37,0
2020.7.19,2782,2591,37,0
2020.7.20,2782,2591,37,0
2020.7.21,2808,2591,38,26
2020.7.22,2824,2614,38,16
2020.7.23,2839,2614,38,15
2020.7.24,2862,2650,38,23
2020.7.25,2862,2650,38,0
2020.7.26,2862,2650,38,0
2020.7.27,2862,2650,38,0
2020.7.28,2900,2672,38,38
2020.7.29,2905,2672,39,5
2020.7.30,2905,2672,39,0
2020.7.31,2962,2721,39,57
2020.8.1,2962,2721,39,0
2020.8.2,2962,2721,39,0
2020.8.3,3008,2738,39,46
2020.8.4,3008,2738,39,0
2020.8.5,3023,2738,39,15
2020.8.6,3031,2738,39,8
2020.8.7,3042,2738,39,11
2020.8.8,3068,2835,39,26
2020.8.9,3068,2835,39,0
2020.8.10,3068,2835,39,0
2020.8.11,3068,2835,39,0
2020.8.12,3091,2835,39,23
2020.8.13,3119,2940,39,28
2020.8.14,3119,2940,39,0
2020.8.15,3119,2940,39,0
2020.8.16,3119,2940,39,0
2020.8.17,3119,2940,39,0
2020.8.18,3160,2964,39,41
2020.8.19,3160,2964,39,0
2020.8.20,3160,2964,39,0
2020.8.21,3160,2964,39,0
2020.8.22,3237,2964,39,77
2020.8.23,3237,2964,39,0
2020.8.24,3237,2964,39,0
2020.8.25,3237,2964,39,0
2020.8.26,3237,2964,39,0
2020.8.27,3237,2964,39,0
2020.8.28,3301,2964,40,64
2020.8.29,3301,2964,40,0
2020.8.30,3301,2964,40,0
2020.8.31,3301,2964,40,0
2020.9.1,3301,2964,40,0
2020.9.2,3301,2964,40,0
2020.9.3,3301,2964,40,0
2020.9.4,3374,2964,40,73
2020.9.5,3374,2964,40,0
2020.9.6,3374,2964,40,0
2020.9.7,3374,2964,40,0
2020.9.8,3374,2964,40,0
2020.9.9,3374,2964,40,0
2020.9.10,3374,2964,40,0
2020.9.11,3374,2964,40,0
2020.9.12,3374,2964,40,0
2020.9.13,3374,2964,40,0
2020.9.14,3374,2964,40,0
2020.9.15,3374,2964,40,0
2020.9.16,3374,2964,40,0
2020.9.17,3374,2964,40,0
2020.9.18,3541,2964,40,167
2020.9.19,3541,2964,40,0
2020.9.20,3541,2964,40,0
2020.9.21,3541,2964,40,0
2020.9.22,3541,2964,40,0
2020.9.23,3541,2964,40,0
2020.9.24,3541,2964,40,0
2020.9.25,3541,2964,40,0
2020.9.26,3541,2964,40,0
2020.9.27,3541,2964,40,0
2020.9.28,3541,2964,40,0
2020.9.29,3541,2964,40,0
2020.9.30,3779,2964,42,238
2020.10.1,3779,2964,42,0
2020.10.2,3779,2964,42,0
2020.10.3,3779,2964,42,0
2020.10.4,3779,2964,42,0
2020.10.5,3892,2964,42,113
2020.10.6,3892,2964,42,0
2020.10.7,3892,2964,42,0
2020.10.8,3892,2964,42,0
2020.10.9,3989,2964,43,97
2020.10.10,3989,2964,43,0
2020.10.11,3989,2964,43,0
2020.10.12,4030,2964,43,41
2020.10.13,4030,2964,43,0
2020.10.14,4030,2964,43,0
2020.10.15,4030,2964,43,0
2020.10.16,4030,2964,43,0
2020.10.17,4030,2964,43,0
2020.10.18,4030,2964,43,0
2020.10.19,4159,2964,43,129
2020.10.20,4159,2964,43,0
2020.10.21,4159,2964,43,0
2020.10.22,4203,2964,44,44
2020.10.23,4203,2964,44,0
2020.10.24,4276,2964,44,73
2020.10.25,4276,2964,44,0
2020.10.26,4321,2964,44,45
2020.10.27,4321,2964,44,0
2020.10.28,4366,2964,44,45
2020.10.29,4366,2964,44,0
2020.10.30,4366,2964,44,0
2020.10.31,4366,2964,44,0
2020.11.1,4366,2964,44,0
2020.11.2,4366,2964,44,0
2020.11.3,4489,2964,45,123
2020.11.4,4524,2964,45,35
2020.11.5,4550,2964,45,26
2020.11.6,4550,2964,45,0
2020.11.7,4550,2964,45,0
2020.11.8,4550,2964,45,0
2020.11.9,4550,2964,45,0
2020.11.10,4815,2964,46,265
2020.11.11,4815,2964,46,0
2020.11.12,4815,2964,46,0
2020.11.13,4921,2964,46,106
2020.11.14,4921,2964,46,0
2020.11.15,4921,2964,46,0
2020.11.16,4943,2964,46,22
2020.11.17,4943,2964,46,0
2020.11.18,4943,2964,46,0
2020.11.19,5036,2964,48,93
2020.11.20,5036,2964,48,0
2020.11.21,5036,2964,48,0
2020.11.22,5036,2964,48,0
2020.11.23,5122,2964,49,86
2020.11.24,5122,2964,49,0
2020.11.25,5181,2964,49,59
2020.11.26,5181,2964,49,0
2020.11.27,5181,2964,49,0
2020.11.28,5181,2964,49,0
2020.11.29,5181,2964,49,0
2020.11.30,5181,2964,49,0
2020.12.1,5181,2964,49,0
2020.12.2,5181,2964,49,0
2020.12.3,5181,2964,49,0
2020.12.4,5181,2964,49,0
2020.12.5,5181,2964,49,0
2020.12.6,5181,2964,49,0
2020.12.7,5181,2964,49,0
2020.12.8,5181,2964,49,0
2020.12.9,5499,2964,51,318
2020.12.10,5499,2964,51,0
2020.12.11,5499,2964,51,0
2020.12.12,5551,2964,52,52
2020.12.13,5551,2964,52,0
2020.12.14,5551,2964,52,0
2020.12.15,5616,2964,53,65
2020.12.16,5616,2964,53,0
2020.12.17,5616,2964,53,0
2020.12.18,5708,2964,53,92
2020.12.19,5708,2964,53,0
2020.12.20,5708,2964,53,0
2020.12.21,5708,2964,53,0
2020.12.22,5708,2964,53,0
2020.12.23,5708,2964,53,0
2020.12.24,5767,2964,54,59
2020.12.25,5767,2964,54,0
2020.12.26,5767,2964,54,0
2020.12.27,5767,2964,54,0
2020.12.28,5890,2964,55,123
2020.12.29,5890,2964,55,0
2020.12.30,5890,2964,55,0
2020.12.31,5890,2964,55,0
2021.1.1,5890,2964,55,0
2021.1.2,5890,2964,55,0
2021.1.3,5890,2964,55,0
2021.1.4,6045,2964,56,155
2021.1.5,6045,2964,56,0
2021.1.6,6045,2964,56,0
2021.1.7,6045,2964,56,0
2021.1.8,6045,2964,56,0
2021.1.9,6232,2964,56,187
2021.1.10,6232,2964,56,0
2021.1.11,6232,2964,56,0
2021.1.12,6232,2964,56,0
2021.1.13,6255,2964,56,23
2021.1.14,6255,2964,56,0
2021.1.15,6611,2964,58,356
2021.1.16,6611,2964,58,0
2021.1.17,6611,2964,58,0
2021.1.18,6611,2964,58,0
2021.1.19,6789,2964,58,178
2021.1.20,6918,2964,58,129
2021.1.21,6981,2964,58,63
2021.1.22,7158,2964,58,177
2021.1.23,7250,2964,58,92
2021.1.24,7250,2964,58,0
2021.1.25,7590,2964,59,340
2021.1.26,7590,2964,59,0
2021.1.27,7884,2964,60,294
2021.1.28,8032,2964,61,148
2021.1.29,8231,2964,61,199
2021.1.30,8231,2964,61,0
2021.1.31,8231,2964,61,0
2021.2.1,8588,2964,61,357
2021.2.2,8588,2964,61,0
2021.2.3,9003,2964,61,415
2021.2.4,9292,2964,62,289
2021.2.5,9546,2964,63,254
2021.2.6,9546,2964,63,0
2021.2.7,9546,2964,63,0
2021.2.8,9546,2964,63,0
2021.2.9,11447,2964,68,1901
2021.2.10,11447,2964,68,0
2021.2.11,12440,2964,72,993
2021.2.12,12440,2964,72,0
2021.2.13,12702,2964,72,262
2021.2.14,13215,2964,75,513
2021.2.15,13535,2964,78,320
2021.2.16,13670,2964,81,135
2021.2.17,14037,2964,85,367
2021.2.18,14481,2964,85,444
2021.2.19,14492,2964,89,11
2021.2.20,14492,2964,89,0
2021.2.21,15792,2964,92,1300
2021.2.22,16060,2964,95,268
2021.2.23,16060,2964,95,0
2021.2.24,16638,2964,98,578
2021.2.25,16638,2964,98,0
2021.2.26,16861,2964,107,223
2021.2.27,16861,2964,107,0
2021.2.28,16861,2964,109,0
2021.3.1,17600,2964,110,739
2021.3.2,17600,2964,110,0
2021.3.3,17600,2964,112,0
2021.3.4,17600,2964,112,0
2021.3.5,18054,2964,112,454
2021.3.6,18140,2964,125,86
2021.3.7,18140,2964,126,0
2021.3.8,18315,2964,128,175
2021.3.9,18413,2964,129,98
2021.3.10,18413,2964,129,0
2021.3.11,18604,2964,129,191
2021.3.12,18604,2964,129,0
2021.3.13,18642,2964,131,38
2021.3.14,18642,2964,131,0
2021.3.15,18642,2964,131,0
2021.3.16,18845,2964,137,203
2021.3.17,18845,2964,137,0
2021.3.18,18922,2964,142,77
2021.3.19,18984,2964,142,62
2021.3.20,19006,2964,152,22
2021.3.21,19006,2964,152,0
2021.3.22,19006,2964,152,0
2021.3.23,19006,2964,154,0
2021.3.24,19224,2964,154,218
2021.3.25,19224,2964,154,0
2021.3.26,19306,2964,154,82
