date,累计确诊,治愈,死亡,新增确诊
2020.4.7,299,5,0,6
2020.4.8,299,16,1,6
2020.4.9,340,16,2,3
2020.4.12,384,44,3,6
2020.4.13,393,44,3,9
2020.4.14,399,44,3,6
2020.4.15,412,82,3,13
2020.4.16,422,82,3,10
2020.4.17,426,99,3,4
2020.4.18,427,118,3,1
2020.4.19,431,126,3,4
2020.4.20,443,150,3,12
2020.4.22,445,204,3,1
2020.4.23,447,223,3,2
2020.4.24,448,249,4,1
2020.4.26,448,282,4,0
2020.4.27,458,303,4,8
2020.4.28,463,339,4,5
2020.4.29,465,351,4,2
2020.4.30,467,351,4,2
2020.5.1,468,383,4,1
2020.5.2,477,392,4,9
2020.5.3,480,399,4,3
2020.5.4,482,403,5,2
2020.5.5,484,407,5,2
2020.5.6,486,413,5,2
2020.5.7,489,419,5,3
2020.5.8,490,419,5,1
2020.5.9,496,433,5,6
2020.5.10,503,434,5,6
2020.5.11,506,434,5,7
2020.5.12,508,436,6,2
2020.5.13,522,443,6,14
2020.5.14,532,450,6,10
2020.5.15,546,450,6,14
2020.5.16,553,454,6,7
2020.5.17,558,456,6,5
2020.5.18,558,456,6,0
2020.5.19,569,460,6,11
2020.5.20,584,465,6,15
2020.5.21,599,468,6,15
2020.5.22,600,469,6,1
2020.5.23,609,473,6,9
2020.5.24,610,476,6,1
2020.5.25,611,485,6,1
2020.5.26,611,485,6,0
2020.5.27,612,491,7,1
2020.5.28,616,501,7,4
2020.5.29,616,514,8,0
2020.5.30,618,525,9,2
2020.5.31,618,534,9,0
2020.6.1,619,537,9,1
2020.6.2,620,554,9,1
2020.6.3,622,562,9,2
2020.6.4,622,576,9,0
2020.6.5,625,583,9,3
2020.6.6,627,596,9,2
2020.6.7,629,596,9,2
2020.6.8,630,596,9,1
2020.6.9,632,597,9,2
2020.6.10,635,597,9,3
2020.6.11,640,600,9,5
2020.6.12,645,600,9,5
2020.6.13,646,601,9,1
2020.6.14,649,603,9,3
2020.6.15,650,603,9,1
2020.6.16,656,608,9,6
2020.6.17,662,610,9,6
2020.6.18,663,610,9,1
2020.6.19,663,613,9,0
2020.6.20,664,616,9,1
2020.6.21,665,616,9,1
2020.6.22,665,617,9,0
2020.6.23,665,618,9,0
2020.6.24,665,624,9,0
2020.6.25,668,627,9,3
2020.6.26,670,632,9,2
2020.6.27,670,635,9,0
2020.6.28,670,636,9,0
2020.6.29,670,639,9,0
2020.6.30,670,640,9,0
2020.7.1,671,647,9,1
2020.7.2,671,649,9,0
2020.7.3,672,650,9,1
2020.7.4,672,650,9,0
2020.7.5,672,652,9,0
2020.7.6,672,652,9,0
2020.7.7,673,653,9,1
2020.7.8,673,654,9,0
2020.7.9,674,656,9,1
2020.7.10,674,658,9,0
2020.7.11,674,658,9,0
2020.7.12,674,660,9,0
2020.7.13,674,660,9,0
2020.7.14,674,660,9,0
2020.7.15,674,661,9,0
2020.7.16,674,661,9,0
2020.7.17,674,662,9,0
2020.7.18,675,662,9,1
2020.7.19,677,662,9,2
2020.7.20,677,664,9,0
2020.7.21,677,664,9,0
2020.7.22,679,665,9,2
2020.7.23,680,665,9,1
2020.7.24,686,665,9,6
2020.7.25,686,665,9,0
2020.7.26,700,665,9,14
2020.7.27,701,665,9,1
2020.7.28,708,665,9,7
2020.7.29,720,665,9,12
2020.7.30,729,665,9,9
2020.7.31,824,665,9,95
2020.8.1,845,665,9,21
2020.8.2,860,666,9,15
2020.8.3,874,666,9,14
2020.8.4,890,666,9,16
2020.8.5,926,668,9,36
2020.8.6,946,670,9,20
2020.8.7,995,675,9,49
2020.8.8,1035,675,9,40
2020.8.9,1089,684,9,54
2020.8.10,1112,688,9,23
2020.8.11,1141,692,9,29
2020.8.12,1190,695,9,49
2020.8.13,1245,708,9,55
2020.8.14,1276,762,9,31
2020.8.15,1348,782,9,72
2020.8.16,1306,749,9,0
2020.8.17,1375,759,9,69
2020.8.18,1423,766,9,48
2020.8.19,1470,784,9,47
2020.8.20,1510,802,9,40
2020.8.21,1546,854,10,36
2020.8.22,1577,901,10,31
2020.8.23,1612,934,10,35
2020.8.24,1667,977,10,55
2020.8.25,1705,1029,10,38
2020.8.26,1751,1077,10,46
2020.8.27,1788,1121,10,37
2020.8.28,1820,1186,10,32
2020.8.29,1847,1244,10,27
2020.8.30,1862,1313,11,15
2020.8.31,1883,1400,12,21
2020.9.1,1909,1453,12,26
2020.9.2,1931,1490,13,22
2020.9.3,1965,1528,13,34
2020.9.4,1984,1565,13,19
2020.9.5,2014,1601,14,30
