date,累计确诊,治愈,死亡,新增确诊
2020.4.7,93,11,0,6
2020.4.8,93,11,0,5
2020.4.10,102,11,0,9
2020.4.12,106,20,0,4
2020.4.13,108,23,0,2
2020.4.14,110,29,0,2
2020.4.15,111,33,0,1
2020.4.16,117,33,0,6
2020.4.18,120,35,0,3
2020.4.19,121,39,0,1
2020.4.20,121,41,0,0
2020.4.21,121,44,0,0
2020.4.22,121,52,0,0
2020.4.23,121,58,0,0
2020.4.24,123,62,0,1
2020.4.25,124,71,0,1
2020.4.27,128,75,0,4
2020.4.28,128,82,0,0
2020.4.30,128,92,0,0
2020.5.1,135,97,0,3
2020.5.2,149,98,0,14
2020.5.5,151,101,0,2
2020.5.7,193,101,0,35
2020.5.13,212,107,0,26
2020.5.14,230,108,0,18
2020.5.15,238,112,0,8
2020.5.16,283,114,0,45
2020.5.17,304,114,1,45
2020.5.18,322,119,1,18
2020.5.19,326,119,2,4
2020.5.20,371,131,2,45
2020.5.21,405,131,2,34
2020.5.22,448,135,2,43
2020.5.23,488,138,2,40
2020.5.24,527,142,2,39
2020.5.25,542,147,2,15
2020.5.26,586,147,2,44
2020.5.27,612,151,2,26
2020.5.28,656,154,2,44
2020.5.29,698,164,5,42
2020.5.30,758,165,6,60
2020.5.31,771,168,6,13
2020.6.1,826,174,6,55
2020.6.2,845,185,6,19
2020.6.3,908,195,6,63
2020.6.4,957,200,7,49
2020.6.5,975,201,7,18
2020.6.6,1026,212,8,51
2020.6.7,1052,233,9,26
2020.6.8,1094,254,9,42
2020.6.9,1138,274,9,44
2020.6.10,1162,296,10,24
2020.6.11,1203,312,10,41
2020.6.12,1240,344,10,37
2020.6.13,1252,362,10,12
2020.6.14,1272,367,10,20
2020.6.15,1290,384,10,18
2020.6.16,1317,417,12,27
2020.6.17,1378,450,12,61
2020.6.18,1403,463,13,25
2020.6.19,1443,498,13,40
2020.6.20,1503,618,13,60
2020.6.21,1596,655,14,93
2020.6.22,1640,692,15,44
2020.6.23,1724,732,15,84
2020.6.24,1787,779,16,63
2020.6.25,1829,823,16,42
2020.6.26,1922,862,16,93
2020.6.27,2005,907,16,83
2020.6.28,2078,944,18,73
2020.6.29,2138,966,20,60
2020.6.30,2214,994,20,76
2020.7.1,2303,1006,22,89
2020.7.2,2403,1040,24,100
2020.7.3,2512,1057,26,109
2020.7.4,2728,1078,29,216
2020.7.5,2941,1108,32,213
2020.7.6,3250,1135,33,309
2020.7.7,3472,1187,33,222
2020.7.8,3573,1761,33,101
2020.7.9,3782,1950,33,209
2020.7.10,4143,2183,34,361
2020.7.11,4578,2287,34,435
2020.7.12,4867,2378,35,289
2020.7.13,5080,2494,37,213
2020.7.14,5343,2646,39,263
2020.7.15,5605,2811,43,262
2020.7.16,6089,2951,53,484
2020.7.17,6467,3108,54,378
2020.7.18,6849,3339,55,382
2020.7.19,7049,3498,59,200
2020.7.20,7153,3788,62,104
2020.7.21,7548,4286,65,395
2020.7.22,8162,4662,69,614
2020.7.23,8381,5160,70,219
2020.7.24,8741,5522,76,360
2020.7.25,8866,5579,78,125
2020.7.26,9295,5579,85,429
2020.7.27,9690,6260,91,395
2020.7.28,10104,6613,93,414
2020.7.29,10317,7117,99,213
2020.7.30,10748,7461,105,431
2020.7.31,10868,7807,106,120
2020.8.1,11273,8109,107,405
2020.8.2,11528,8444,114,255
2020.8.3,11660,8825,118,132
2020.8.4,11895,9286,123,235
2020.8.5,12222,9798,127,327
2020.8.6,12526,10148,134,304
2020.8.7,12708,10412,135,182
2020.8.8,12922,10604,141,214
2020.8.9,13086,10816,148,164
2020.8.10,13202,11011,151,116
2020.8.11,13317,11276,152,115
2020.8.12,13397,11529,156,80
2020.8.13,13522,11780,162,125
2020.8.14,13643,12011,164,121
2020.8.15,13724,12232,166,81
2020.8.16,13827,12424,170,103
2020.8.17,13886,12603,171,59
2020.8.18,14009,12767,173,123
2020.8.19,14074,12921,173,65
2020.8.20,14154,13038,177,80
2020.8.21,14218,13206,178,64
2020.8.22,14277,13332,178,59
2020.8.23,14327,13355,178,50
2020.8.24,14402,13436,178,75
2020.8.25,14475,13492,178,73
2020.8.26,14554,13582,181,79
2020.8.27,14592,13686,184,38
