date,累计确诊,治愈,死亡,新增确诊
2020.4.8,59,16,7,3
2020.4.9,74,22,7,15
2020.4.11,105,22,9,18
2020.4.13,123,26,10,18
2020.4.14,144,34,13,21
2020.4.16,171,34,13,23
2020.4.17,190,34,13,19
2020.4.19,224,42,14,8
2020.4.20,246,56,14,22
2020.4.21,293,73,17,35
2020.4.23,310,77,21,17
2020.4.24,325,87,21,16
2020.4.25,370,91,21,45
2020.4.26,389,112,23,19
2020.4.27,408,113,23,19
2020.4.28,424,122,24,16
2020.4.29,482,129,25,58
2020.4.30,490,135,26,8
2020.5.1,508,196,26,18
2020.5.2,544,206,26,36
2020.5.3,563,213,27,19
2020.5.4,612,228,32,32
2020.5.6,631,261,32,19
2020.5.7,650,261,32,19
2020.5.8,668,285,35,18
2020.5.10,704,351,38,12
2020.5.11,712,377,39,8
2020.5.12,730,398,40,18
2020.5.13,758,412,44,28
2020.5.14,779,436,46,21
2020.5.15,806,455,46,2
2020.5.16,835,479,48,29
2020.5.17,874,512,52,14
2020.5.18,874,512,52,39
2020.5.19,874,512,52,0
2020.5.20,901,529,53,27
2020.5.21,931,543,55,30
2020.5.22,947,558,60,16
2020.5.23,969,560,62,22
2020.5.24,1030,597,65,61
2020.5.25,1059,604,67,29
2020.5.26,1077,617,70,18
2020.5.27,1077,617,70,0
2020.5.28,1116,632,70,39
2020.5.29,1194,652,72,78
2020.5.30,1250,696,76,56
2020.5.31,1265,716,77,15
2020.6.1,1315,744,78,50
2020.6.2,1351,769,78,36
2020.6.3,1351,769,78,0
2020.6.4,1386,788,79,35
2020.6.5,1461,806,85,75
2020.6.6,1523,845,90,62
2020.6.7,1533,873,90,10
2020.6.8,1547,916,92,14
2020.6.9,1547,916,92,0
2020.6.10,1667,948,96,120
2020.6.11,1667,948,96,0
2020.6.12,1752,1023,101,85
2020.6.13,1776,1058,104,24
2020.6.14,1809,1088,104,33
2020.6.15,1860,1125,104,51
2020.6.16,1860,1125,104,0
2020.6.17,1890,1168,107,30
2020.6.18,1906,1192,107,16
2020.6.19,1923,1217,108,17
2020.6.20,1923,1217,108,0
2020.6.21,1933,1255,109,10
2020.6.22,1961,1266,111,28
2020.6.23,1978,1302,111,17
2020.6.24,2001,1333,112,23
2020.6.25,2005,1354,112,4
2020.6.26,2039,1383,113,34
2020.6.27,2060,1387,113,21
2020.6.28,2147,1432,114,87
2020.6.29,2147,1432,114,0
2020.6.30,2173,1447,115,26
2020.7.1,2181,1474,116,8
2020.7.2,2202,1483,116,21
2020.7.3,2260,1502,117,58
2020.7.4,2285,1507,117,25
2020.7.5,2303,1516,118,18
2020.7.6,2330,1527,119,27
2020.7.7,2331,1547,119,1
2020.7.8,2348,1556,119,17
2020.7.9,2358,1597,120,10
2020.7.10,2370,1621,120,12
2020.7.11,2404,1650,121,34
2020.7.12,2411,1694,121,7
2020.7.13,2412,1730,121,1
2020.7.14,2423,1748,121,11
2020.7.15,2433,1764,121,10
2020.7.16,2440,1777,121,7
2020.7.17,2467,1791,121,27
2020.7.18,2472,1809,121,5
2020.7.19,2475,1828,121,3
2020.7.20,2475,1851,121,0
2020.7.21,2477,1856,122,2
2020.7.22,2494,1869,123,17
2020.7.23,2494,1889,123,0
2020.7.24,2503,1901,123,9
2020.7.25,2503,1907,123,0
2020.7.26,2510,1911,123,7
2020.7.27,2510,1911,123,0
2020.7.28,2520,1919,124,10
2020.7.29,2521,1927,124,1
2020.7.30,2521,1927,124,0
2020.7.31,2522,1931,124,1
2020.8.1,2535,1937,124,13
2020.8.2,2535,1941,124,0
2020.8.3,2541,1943,124,6
2020.8.4,2543,1943,124,2
2020.8.5,2543,1946,124,0
2020.8.6,2546,1950,124,3
2020.8.7,2552,1954,124,6
2020.8.8,2561,1956,125,9
2020.8.9,2565,1960,125,4
2020.8.10,2567,1962,125,2
2020.8.11,2573,1969,125,6
2020.8.12,2577,1973,125,4
2020.8.13,2582,1977,125,5
2020.8.14,2597,1979,125,15
2020.8.15,2597,1979,125,0
2020.8.16,2614,1986,125,17
2020.8.17,2640,1987,125,26
2020.8.18,2640,1987,125,0
2020.8.19,2666,1990,125,26
2020.8.20,2667,1993,125,1
2020.8.21,2667,1993,125,0
2020.8.22,2688,2007,125,21
2020.8.23,2699,2010,125,11
2020.8.24,2708,2025,125,9
2020.8.25,2708,2025,125,0
2020.8.26,2713,2041,125,5
2020.8.27,2717,2052,126,4
2020.8.28,2730,2054,126,13
2020.8.29,2736,2055,126,6
2020.8.30,2757,2121,126,21
2020.8.31,2773,2169,126,16
2020.9.1,2776,2169,126,3
2020.9.2,2777,2178,126,1
2020.9.3,2802,2185,126,25
2020.9.4,2807,2203,126,5
2020.9.5,2814,2220,126,7
2020.9.6,2833,2233,126,19
2020.9.7,2842,2238,127,9
2020.9.8,2870,2246,127,28
2020.9.9,2882,2258,127,12
2020.9.10,2898,2267,128,16
2020.9.11,2909,2269,128,11
2020.9.12,2912,2271,128,3
2020.9.13,2916,2276,128,4
2020.9.14,2924,2285,128,8
2020.9.15,2935,2289,128,11
2020.9.16,2966,2311,128,31
2020.9.17,2966,2311,128,0
2020.9.18,2966,2311,128,0
2020.9.19,2991,2332,128,25
2020.9.20,3006,2349,128,15
2020.9.21,3013,2372,128,7
2020.9.22,3024,2377,128,11
2020.9.23,3030,2380,129,6
2020.9.24,3034,2382,130,4
2020.9.25,3041,2391,130,7
2020.9.26,3064,2402,130,23
2020.9.27,3080,2410,130,16
2020.9.28,3090,2439,130,10
2020.9.29,3090,2439,130,0
2020.9.30,3101,2443,131,11
2020.10.1,3118,2453,131,17
2020.10.2,3131,2460,131,13
2020.10.3,3156,2467,131,25
2020.10.4,3170,2476,131,14
2020.10.5,3184,2479,131,14
2020.10.6,3189,2482,131,5
2020.10.7,3195,2494,131,6
2020.10.8,3210,2502,131,15
2020.10.9,3235,2506,131,25
2020.10.10,3248,2514,131,13
2020.10.11,3273,2525,132,25
2020.10.12,3286,2527,132,13
2020.10.13,3296,2533,132,10
2020.10.14,3297,2544,132,1
2020.10.15,3352,2550,132,55
2020.10.16,3368,2559,132,16
2020.10.17,3378,2563,132,10
2020.10.18,3379,2570,132,1
2020.10.19,3388,2586,132,9
2020.10.20,3407,2588,132,19
2020.10.21,3411,2593,132,4
2020.10.22,3428,2599,132,17
2020.10.23,3440,2608,132,12
2020.10.24,3444,2620,132,4
2020.10.25,3472,2636,132,28
2020.10.26,3490,2661,132,18
2020.10.27,3499,2664,133,9
2020.10.28,3515,2665,136,16
2020.10.29,3530,2667,136,15
2020.10.30,3545,2746,136,15
2020.10.31,3554,2753,136,9
2020.11.1,3554,2753,136,0
2020.11.2,3565,2758,136,11
2020.11.3,3573,2769,136,8
2020.11.4,3584,2775,136,11
2020.11.5,3609,2791,137,25
2020.11.6,3633,2807,137,24
2020.11.7,3657,2817,137,24
2020.11.8,3676,2822,137,19
2020.11.9,3706,2828,137,30
