date,累计确诊,治愈,死亡,新增确诊
2020.4.7,575,62,19,27
2020.4.8,576,62,19,28
2020.4.9,582,67,19,6
2020.4.11,619,77,20,10
2020.4.12,632,80,20,2
2020.4.13,641,80,21,9
2020.4.14,658,81,21,17
2020.4.15,663,85,21,5
2020.4.16,668,86,21,5
2020.4.17,672,94,21,4
2020.4.18,673,99,21,1
2020.4.19,677,102,21,4
2020.4.21,682,108,22,5
2020.4.22,688,140,22,6
2020.4.23,696,140,22,8
2020.4.24,704,143,24,8
2020.4.25,707,145,24,3
2020.4.26,710,145,24,3
2020.4.27,717,145,24,7
2020.4.28,721,150,24,4
2020.4.29,725,150,24,4
2020.4.30,729,192,24,4
2020.5.1,733,192,25,4
2020.5.2,737,200,25,4
2020.5.3,740,200,25,3
2020.5.4,741,201,25,1
2020.5.5,750,206,25,9
2020.5.6,784,220,25,34
2020.5.7,796,223,26,12
2020.5.8,809,234,26,13
2020.5.10,859,234,26,14
2020.5.11,870,234,26,14
2020.5.12,878,236,26,11
2020.5.13,886,236,26,8
2020.5.14,891,246,26,5
2020.5.15,902,247,26,11
2020.5.16,911,247,26,9
2020.5.17,931,251,26,20
2020.5.18,931,251,26,20
2020.5.19,954,251,26,23
2020.5.20,961,251,26,7
2020.5.21,1024,663,26,63
2020.5.22,1086,663,26,62
2020.5.23,1097,667,26,11
2020.5.24,1114,688,26,17
2020.5.25,1119,688,26,5
2020.5.26,1140,689,26,21
2020.5.27,1161,692,26,21
2020.5.28,1168,699,26,7
2020.5.29,1172,705,26,4
2020.5.30,1191,708,26,19
2020.5.31,1220,712,27,29
2020.6.1,1233,715,27,13
2020.6.2,1242,719,27,9
2020.6.3,1256,724,27,14
2020.6.4,1306,731,28,50
2020.6.5,1312,768,28,6
2020.6.6,1320,768,29,8
2020.6.7,1331,768,30,11
2020.6.8,1350,779,30,19
2020.6.9,1368,795,30,18
2020.6.10,1388,832,30,20
2020.6.11,1402,845,31,14
2020.6.12,1422,853,31,20
2020.6.13,1442,868,32,20
2020.6.14,1446,868,32,4
2020.6.15,1464,875,32,18
2020.6.16,1473,889,32,9
2020.6.17,1489,907,32,16
2020.6.18,1495,944,32,6
2020.6.19,1510,960,32,15
2020.6.20,1536,1006,32,26
2020.6.21,1587,1068,32,51
2020.6.22,1603,1077,32,16
2020.6.23,1622,1098,32,19
2020.6.24,1644,1103,33,22
2020.6.25,1662,1144,33,18
2020.6.26,1697,1144,33,35
