date,累计确诊,治愈,死亡,新增确诊
2020.4.8,249,4,2,1
2020.4.9,255,4,2,3
2020.4.10,257,4,2,2
2020.4.11,263,5,2,6
2020.4.12,267,5,3,4
2020.4.13,274,5,3,2
2020.4.14,283,46,4,9
2020.4.15,288,55,4,0
2020.4.16,303,55,4,15
2020.4.17,305,55,5,2
2020.4.18,307,55,5,4
2020.4.19,311,55,5,3
2020.4.20,312,88,5,4
2020.4.21,313,101,5,1
2020.4.22,315,116,5,2
2020.4.23,319,123,5,3
2020.4.25,320,153,6,1
2020.4.27,321,189,7,0
2020.4.29,322,203,7,1
2020.5.3,323,249,8,1
2020.5.4,324,253,8,1
2020.5.12,324,298,9,0
2020.5.16,324,298,9,0
2020.5.18,324,311,9,0
2020.5.19,324,311,9,0
2020.5.20,324,312,9,0
2020.5.21,324,314,9,0
2020.5.22,324,314,9,0
2020.5.23,324,314,9,0
2020.5.24,324,314,9,0
2020.5.25,324,315,9,0
2020.5.26,324,315,9,0
2020.5.27,324,315,9,0
2020.5.28,324,315,9,0
2020.5.29,324,315,9,0
2020.5.30,324,315,9,0
2020.5.31,324,315,9,0
2020.6.1,324,315,9,0
2020.6.2,324,315,9,0
2020.6.3,324,315,9,0
2020.6.4,324,315,9,0
2020.6.5,324,315,9,0
2020.6.6,324,315,9,0
2020.6.7,324,315,9,0
2020.6.8,324,315,9,0
2020.6.9,324,315,9,0
2020.6.10,324,315,9,0
2020.6.11,324,315,9,0
2020.6.12,324,315,9,0
2020.6.13,324,315,9,0
2020.6.14,324,315,9,0
2020.6.15,325,315,9,1
2020.6.16,326,315,9,1
2020.6.17,326,315,9,0
2020.6.18,333,315,9,7
2020.6.19,337,315,9,4
2020.6.20,355,315,9,18
2020.6.21,359,315,9,4
2020.6.22,362,315,9,3
2020.6.23,375,315,9,13
2020.6.24,383,315,9,8
2020.6.25,389,315,9,6
2020.6.26,439,315,9,50
2020.6.27,439,315,9,0
2020.6.28,469,315,9,30
2020.6.29,501,315,11,32
2020.6.30,548,315,12,47
2020.7.1,576,315,12,28
2020.7.2,616,315,12,40
2020.7.3,663,315,13,47
2020.7.4,720,315,13,57
2020.7.5,720,315,14,0
2020.7.6,781,315,14,61
2020.7.7,841,315,16,60
2020.7.8,960,320,17,119
2020.7.9,960,320,17,0
2020.7.10,1019,320,19,59
2020.7.11,1019,320,19,0
2020.7.12,1221,325,23,202
2020.7.13,1221,325,23,0
2020.7.14,1287,330,24,66
2020.7.15,1287,330,24,0
2020.7.16,1287,330,24,0
2020.7.17,1965,357,26,678
2020.7.18,2072,378,30,107
2020.7.19,2188,385,32,116
2020.7.20,2188,385,32,0
2020.7.21,2283,387,35,95
2020.7.22,2381,426,35,98
2020.7.23,2472,496,39,91
2020.7.24,2569,538,40,97
2020.7.25,2665,643,43,96
2020.7.26,2747,664,43,82
2020.7.27,2799,739,43,52
2020.7.28,2893,809,45,94
2020.7.29,2949,839,45,56
2020.7.30,3016,931,47,67
2020.7.31,3073,1005,48,57
2020.8.1,3198,1293,50,125
2020.8.2,3198,1293,50,0
2020.8.3,3258,1445,51,60
2020.8.4,3301,1445,52,43
2020.8.5,3361,1869,53,60
2020.8.6,3411,2032,57,50
2020.8.7,3549,2296,61,138
2020.8.8,3549,2296,61,0
2020.8.9,3588,2407,62,39
2020.8.10,3618,2452,64,30
2020.8.11,3696,2521,68,78
2020.8.12,3748,2558,71,52
2020.8.13,3813,2638,73,65
2020.8.14,3857,2680,73,44
2020.8.15,3930,2752,73,73
2020.8.16,3960,2830,75,30
2020.8.17,4035,2910,77,75
2020.8.18,4085,2986,80,50
2020.8.19,4132,3035,80,47
2020.8.20,4174,3127,80,42
2020.8.21,4229,3186,81,55
2020.8.22,4277,3281,82,48
2020.8.23,4313,3333,84,36
2020.8.24,4343,3356,84,30
2020.8.25,4378,3420,84,35
2020.8.26,4444,3480,87,66
2020.8.27,4499,3558,88,55
2020.8.28,4558,3606,89,59
2020.8.29,4663,3731,92,105
2020.8.30,4727,3839,93,64
2020.8.31,4790,3963,98,63
2020.9.1,4835,4021,100,45
2020.9.2,4917,4058,102,82
2020.9.3,5019,4104,104,102
2020.9.4,5165,4164,104,146
2020.9.5,5275,4203,106,110
2020.9.6,5422,4224,107,147
2020.9.7,5553,4231,108,131
2020.9.8,5659,4272,109,106
2020.9.9,5875,4312,112,216
2020.9.10,6094,4350,114,219
2020.9.11,6222,4393,114,128
2020.9.12,6385,4460,115,163
2020.9.13,6530,4491,118,145
2020.9.14,6712,4507,120,182
2020.9.15,6900,4589,121,188
2020.9.16,7061,4692,123,161
2020.9.17,7291,4764,126,230
2020.9.18,7503,4892,129,212
2020.9.19,7711,4997,133,208
2020.9.20,7898,5129,134,187
2020.9.21,8612,5268,136,714
2020.9.22,8842,5425,138,230
2020.9.23,9138,5544,146,296
2020.9.24,9717,5917,154,579
2020.9.25,9962,6177,155,245
2020.9.26,10197,6368,158,235
2020.9.27,10313,6456,158,116
2020.9.28,10441,6720,163,128
2020.9.29,10441,6720,163,0
2020.9.30,10772,7192,169,331
2020.10.1,10772,7192,169,0
2020.10.2,11690,7618,172,918
2020.10.3,11934,7803,174,244
2020.10.4,12127,7953,179,193
2020.10.5,12359,8308,182,232
2020.10.6,12584,8557,188,225
2020.10.7,12794,8907,190,210
2020.10.8,13004,9154,191,210
2020.10.9,13348,9326,194,344
2020.10.10,13641,9429,198,293
2020.10.11,13869,9620,202,228
2020.10.12,14050,9920,211,181
2020.10.13,14268,10063,213,218
2020.10.14,14461,10201,217,193
2020.10.15,14672,10355,221,211
2020.10.16,14672,10355,221,0
2020.10.17,15427,10768,231,755
2020.10.18,15615,10994,236,188
2020.10.19,15760,11288,240,145
2020.10.20,15892,11581,247,132
2020.10.21,16069,11815,250,177
2020.10.22,16259,12093,253,190
2020.10.23,16436,12378,255,177
2020.10.24,16629,12601,263,193
2020.10.25,16629,12601,263,0
2020.10.26,16797,12775,266,168
2020.10.27,16909,13016,270,112
2020.10.28,17091,13251,275,182
2020.10.29,17392,13485,282,301
2020.10.30,17746,13727,290,354
2020.10.31,18066,13942,294,320
2020.11.1,18341,14084,301,275
2020.11.2,18714,14216,313,373
2020.11.3,19210,14456,320,496
2020.11.4,19977,14635,322,767
2020.11.5,20851,14887,326,874
2020.11.6,21533,15115,328,682
2020.11.7,22379,15544,333,846
2020.11.8,22379,15544,333,0
2020.11.9,22805,15893,337,426
2020.11.10,23608,16089,342,803
2020.11.11,24154,16378,349,546
2020.11.12,24865,16542,356,711
2020.11.13,26109,16904,377,1244
2020.11.14,26109,16904,377,0
2020.11.15,26686,17151,385,577
2020.11.16,27177,17387,391,491
2020.11.17,27773,17862,396,596
2020.11.18,28392,18121,405,619
2020.11.19,29577,18744,420,1185
2020.11.20,29577,18744,420,0
2020.11.21,30653,19129,434,1076
2020.11.22,30653,19129,434,0
2020.11.23,31062,19491,439,409
2020.11.24,31618,20031,444,556
2020.11.25,32188,20627,450,570
2020.11.26,32808,21229,459,620
2020.11.27,33316,21721,469,508
2020.11.28,33836,22366,474,520
2020.11.29,34454,22796,481,618
2020.11.30,35265,24131,499,427
2020.12.1,35265,24131,499,0
2020.12.2,35849,24637,504,584
2020.12.3,36351,25409,510,502
2020.12.4,36932,25866,516,581
2020.12.5,37467,26414,522,535
2020.12.6,37879,26809,530,412
2020.12.7,38246,26999,533,367
2020.12.8,38562,27651,543,316
2020.12.9,39153,28052,549,591
2020.12.10,39607,28461,556,454
2020.12.11,40165,29054,566,558
2020.12.12,40546,29462,569,381
2020.12.13,40948,29614,578,402
2020.12.14,41803,31138,585,855
2020.12.15,42148,32097,597,345
2020.12.16,42148,32097,597,0
2020.12.17,42563,32550,610,415
2020.12.18,42995,33049,614,432
2020.12.19,43390,33491,620,395
2020.12.20,43709,33788,624,319
2020.12.21,43955,34082,626,246
2020.12.22,44284,34569,630,329
2020.12.23,44542,35149,637,258
2020.12.24,45062,35482,639,520
2020.12.25,45423,35809,648,361
2020.12.26,45945,36120,652,522
2020.12.27,46694,36993,666,749
2020.12.28,46969,37281,675,275
2020.12.29,46969,37281,675,0
2020.12.30,47404,37900,677,435
2020.12.31,47782,38367,681,378
2021.1.1,48247,38580,682,465
2021.1.2,48589,38780,684,342
2021.1.3,48856,39014,684,267
2021.1.4,49195,39347,689,339
2021.1.5,49630,39877,692,435
2021.1.6,50054,40369,699,424
2021.1.7,50697,40638,705,643
2021.1.8,51160,41191,712,463
2021.1.9,51596,41516,718,436
2021.1.10,51999,41827,721,403
2021.1.11,52431,42288,725,432
2021.1.12,52819,42569,729,388
2021.1.13,53338,42995,730,519
2021.1.14,53840,43475,737,502
2021.1.15,54316,43940,740,476
2021.1.16,54730,44388,741,414
2021.1.17,55136,44856,743,406
2021.1.18,55493,45348,745,357
2021.1.19,55803,45898,746,310
2021.1.20,56228,46506,749,425
2021.1.21,56579,47233,758,351
2021.1.22,56998,47974,762,419
2021.1.23,57482,48571,765,484
2021.1.24,57929,49150,766,447
2021.1.25,58316,49637,768,387
